Startup Name,Location,Founders,Website,Article URL
Reefilla,"Turin, Italy","Marco Bevilacqua, Pietro Balda, and Gabriele Bergoglio",N/A,https://www.eu-startups.com/2024/12/turin-based-reefilla-raises-e1-8-million-to-advance-sustainable-energy-solutions/
Breed Reply,London,Emanuele Angelidis,null,https://www.eu-startups.com/2018/02/interview-with-manuele-angelidis-ceo-breed-reply/
null,null,null,null,https://www.eu-startups.com/2025/10/weekly-funding-round-up-all-of-the-european-startup-funding-rounds-we-tracked-this-week-oct-06-10/
Beintoo,"Milan, Italy",Antonio Tomarchio and Filippo Privitera,N/A,https://www.eu-startups.com/2011/01/italian-startup-beintoo-closes-angel-round-to-gamify-mobile-apps/
Actijoy,Czech,,,https://www.eu-startups.com/2017/04/meet-the-15-startups-that-made-it-to-the-finals-of-our-pitch-competition-on-april-13-in-berlin/
Mirai Robotics,"Puglia, Italy","Luciano Belviso, Luca Mascaro, and Davide Dattoli",N/A,https://www.eu-startups.com/2026/03/italys-ai-robotics-startup-mirai-robotics-raises-e3-6-million-to-build-autonomous-systems-for-maritime-operations/
Wearable Robotics,"Pisa, Italy",Not specified in the article,Not specified in the article,https://www.eu-startups.com/2026/04/italys-wearable-robotics-closes-e5-million-series-a-to-scale-neuromotor-rehabilitation-robotics-and-exoskeletons/
Kisi,"Stockholm, New York",null,null,https://www.eu-startups.com/2019/03/startup-jobs-of-the-week-kisi-netrivals-blueoptima-and-vitrealab-are-hiring/
Playtomic,Madrid,Pedro Clavería,N/A,https://www.eu-startups.com/2020/07/madrid-based-playtomic-acquires-milan-based-prenotauncampo-to-become-europes-leading-racket-sports-app/
Mopapp,London,"Alessandro Rizzoli, Marco Bellinaso and Federico Sita",,https://www.eu-startups.com/2012/03/the-bologna-connection-mopapp-receives-e15m-from-crif/
Mopapp,"Bologna, Italy",,,https://www.eu-startups.com/2011/04/the-two-winners-of-seedcamp-berlin/
Bending Spoons,Milan,Luca Ferrari,,https://www.eu-startups.com/2025/08/italys-bending-spoons-raises-over-e500-million-to-turbocharge-tech-acquisitions/
Translated,Not specified in the article,Marco Trombetti,Not specified in the article,https://www.eu-startups.com/2019/08/why-and-how-to-build-a-startup-chapter-6-future/
Waynaut,Milan,N/A,N/A,https://www.eu-startups.com/2015/01/5-italian-startups-to-look-out-for-in-2015/
Casavo,"Milan, Italy",Giorgio Tinacci,,https://www.eu-startups.com/2021/03/italian-proptech-startup-casavo-lands-e200-million-to-change-the-way-people-sell-live-and-buy-homes-in-europe/
BeSafe Group,Italy,Alessandro Bartolucci,,https://www.eu-startups.com/2022/04/rome-based-besafe-group-secures-e1-2-million-for-its-insurtech-for-the-travel-industry/
Tsuga,Paris,Gabriel-James Safar,,https://www.eu-startups.com/2026/06/french-observability-startup-tsuga-lands-e30-million-to-expand-ai-agent-platform/
SWITCH,Rome,Matteo Forte,,https://www.eu-startups.com/2025/02/e946k-for-switch-to-innovate-urban-mobility-and-logistics-with-ai/
spreaker,Italy,N/A,N/A,https://www.eu-startups.com/2010/10/spreaker-from-italy-is-socializing-internet-radio/
AIxBlock,U.S.,N/A,N/A,https://www.eu-startups.com/2025/08/us-ai-startup-aixblock-plugs-into-europes-idle-data-centres-with-e1-5-million-eu-grant-and-potential-e61-5-million-funding/
Alsendo,Warsaw,,,https://www.eu-startups.com/2025/07/warsaw-based-alsendo-expands-into-western-europe-with-the-acquisition-of-italian-shipping-platform-spedire-com/
Guidoio,"Milan, Italy","Franz Uhl, Lorenzo Mannari",N/A,https://www.eu-startups.com/2024/02/milan-based-guidoio-picks-up-e700k-pre-seed-to-digitize-italys-driving-school-industry/
Lexroom,"Milan, Italy","Paolo Fois, Martina Domenicali, Andrea Lonza",null,https://www.eu-startups.com/2026/05/italian-ai-legaltech-startup-lexroom-raises-e42-9-million-series-b-eight-months-after-e16-2-million-series-a/
Eventbrite,US,"Julia Hartz, Kevin Hartz, and Renaud Visage",null,https://www.eu-startups.com/2025/12/italys-trailblazer-bending-spoons-adds-eventbrite-to-portfolio-in-e430-million-all-cash-acquisition/
Aryel,Milan,null,null,https://www.eu-startups.com/2023/02/milan-based-aryel-raises-e3-7-million-to-empower-a-new-era-of-ar-based-content/
